location,sample date,Dissolved oxygen,Water temperature
Chai,25-May-02,8.9,16
Chai,25-May-02,9.3,15
Chai,25-May-02,9.4,16
Chai,12-Jun-02,11.7,22
Chai,12-Jun-02,11.8,22
Chai,12-Jun-02,11.6,22
Boonsri,13-Jun-02,7.9,21.5
Boonsri,13-Jun-02,8,21
Boonsri,13-Jun-02,7.9,21.5
Chai,21-Jun-02,9,21
Chai,21-Jun-02,8.9,19
Chai,21-Jun-02,9,21
Somchair,22-Jun-02,10.4,20
Busarakhan,22-Jun-02,7.1,20
Kannika,22-Jun-02,7,19
Kannika,22-Jun-02,7.1,19
Kannika,22-Jun-02,7.1,19
Sakda,22-Jun-02,7.2,18.5
Sakda,22-Jun-02,7.1,18.5
Sakda,22-Jun-02,7.2,18.5
Boonsri,27-Jun-02,6.9,23.4
Boonsri,27-Jun-02,7.3,22.8
Boonsri,27-Jun-02,6.8,23
Kohsoom,29-Jun-02,6.2,27
Boonsri,12-Jul-02,5.7,22
Boonsri,12-Jul-02,6.5,21
Boonsri,12-Jul-02,6.3,21.5
Chai,13-Jul-02,6.2,20
Chai,13-Jul-02,7,20
Chai,13-Jul-02,7,20
Sakda,20-Jul-02,7,22
Sakda,20-Jul-02,7.1,22
Sakda,20-Jul-02,6.9,22
Chai,24-Jul-02,10.7,22
Chai,24-Jul-02,9.2,22
Chai,24-Jul-02,9.9,22
Boonsri,25-Jul-02,7,24
Boonsri,25-Jul-02,7.1,23.5
Boonsri,25-Jul-02,6.9,24
Kannika,25-Jul-02,6.9,24
Kannika,25-Jul-02,6.5,24
Kannika,25-Jul-02,7,24
Somchair,26-Jul-02,8,24
Busarakhan,26-Jul-02,8.6,23
Kohsoom,27-Jul-02,6.6,26
Boonsri,08-Aug-02,7.8,22.5
Boonsri,08-Aug-02,8.1,22.8
Boonsri,08-Aug-02,8.3,22.5
Chai,10-Aug-02,10.3,22
Chai,10-Aug-02,9.2,22
Chai,10-Aug-02,6.9,22
Chai,21-Aug-02,8.8,26
Chai,21-Aug-02,8.4,26
Chai,21-Aug-02,7,26
Kannika,21-Aug-02,6.2,26
Kannika,21-Aug-02,6.3,26
Kannika,21-Aug-02,6.1,26
Boonsri,22-Aug-02,6.4,27
Boonsri,22-Aug-02,6.6,26
Boonsri,22-Aug-02,6.3,27
Somchair,22-Aug-02,12.6,25
Busarakhan,22-Aug-02,6.8,27
Sakda,23-Aug-02,6.5,26
Sakda,23-Aug-02,6,26
Sakda,23-Aug-02,6.4,26
Kohsoom,24-Aug-02,6.6,25.7
Boonsri,12-Sep-02,7,21.5
Boonsri,12-Sep-02,7.1,21
Boonsri,12-Sep-02,6.9,21.5
Somchair,12-Sep-02,12.2,19
Busarakhan,12-Sep-02,7.8,19
Chai,13-Sep-02,7.1,19
Chai,13-Sep-02,7.4,19
Chai,13-Sep-02,6.4,20
Boonsri,19-Sep-02,7.8,20
Boonsri,19-Sep-02,8,19.5
Boonsri,19-Sep-02,7,20
Kohsoom,21-Sep-02,7.7,21.5
Kannika,21-Sep-02,6.2,18
Kannika,21-Sep-02,6.3,18
Kannika,21-Sep-02,6.1,18
Sakda,21-Sep-02,6.6,18
Sakda,21-Sep-02,6.8,18
Sakda,21-Sep-02,6.7,18
Chai,25-Sep-02,8.9,15
Chai,25-Sep-02,9,15
Chai,25-Sep-02,8.4,15
Boonsri,27-Sep-02,9.1,19.5
Boonsri,27-Sep-02,9.3,19.5
Boonsri,27-Sep-02,9,19.5
Boonsri,10-Oct-02,8.2,17
Boonsri,10-Oct-02,8.3,17
Boonsri,10-Oct-02,8.1,17
Kohsoom,10-Oct-02,3.7,17
Chai,10-Oct-02,8.6,17
Chai,10-Oct-02,8.7,17
Chai,10-Oct-02,8.4,17
Somchair,12-Oct-02,6.8,14
Busarakhan,12-Oct-02,7.8,16
Kannika,12-Oct-02,8.6,17
Kannika,12-Oct-02,8.7,17
Kannika,12-Oct-02,8.4,17
Sakda,12-Oct-02,8.3,17
Sakda,12-Oct-02,8.5,17
Sakda,12-Oct-02,8.4,17
Boonsri,24-Oct-02,8.2,13
Boonsri,24-Oct-02,7.6,13
Boonsri,24-Oct-02,7.9,13
Chai,24-Oct-02,8.4,14
Chai,24-Oct-02,8.6,15
Chai,24-Oct-02,8.5,14
Kohsoom,26-Oct-02,8.3,11
Somchair,26-Oct-02,12,11
Busarakhan,26-Oct-02,8,10
Kannika,26-Oct-02,6.1,12
Kannika,26-Oct-02,6.2,11
Kannika,26-Oct-02,6.1,11
Sakda,26-Oct-02,6.8,11.5
Sakda,26-Oct-02,6.9,11.5
Sakda,26-Oct-02,6.6,11.5
Chai,30-Oct-02,8.6,14
Chai,30-Oct-02,8.9,14
Chai,30-Oct-02,8.7,14
Boonsri,07-Nov-02,6.8,11
Boonsri,07-Nov-02,7.1,11.5
Boonsri,07-Nov-02,6.9,11
Chai,07-Nov-02,9.5,14
Chai,07-Nov-02,10,14
Chai,07-Nov-02,9.6,14
Boonsri,21-Nov-02,9.6,11
Boonsri,21-Nov-02,9.7,11.5
Boonsri,21-Nov-02,9.4,11
Kannika,21-Nov-02,6.3,12.5
Kannika,21-Nov-02,6.9,12.5
Kannika,21-Nov-02,6.6,12.5
Sakda,21-Nov-02,7,12.5
Sakda,21-Nov-02,7.1,12.5
Sakda,21-Nov-02,6.9,12.5
Kohsoom,23-Nov-02,8.8,11.5
Chai,06-Dec-02,8.4,8.5
Chai,06-Dec-02,8.7,8.5
Chai,06-Dec-02,8.6,8.5
Boonsri,12-Dec-02,9.4,7
Boonsri,12-Dec-02,8.9,7
Boonsri,12-Dec-02,9,7
Chai,13-Dec-02,9.9,7
Chai,13-Dec-02,10.2,7
Chai,13-Dec-02,9.7,7
Sakda,14-Dec-02,8.2,8
Sakda,14-Dec-02,8.5,8
Sakda,14-Dec-02,5.2,8
Somchair,15-Dec-02,10.5,6.5
Busarakhan,15-Dec-02,10.8,6
Kannika,18-Dec-02,5,7
Kannika,18-Dec-02,7.9,7
Kannika,18-Dec-02,7.2,7
Boonsri,19-Dec-02,9.8,6.5
Boonsri,19-Dec-02,9.3,6.5
Boonsri,19-Dec-02,9.4,6.5
Kohsoom,22-Dec-02,8.9,4.5
Chai,17-Jan-03,15.2,5
Chai,17-Jan-03,14.9,5
Chai,17-Jan-03,14.8,5
Boonsri,23-Jan-03,11.5,2.6
Boonsri,23-Jan-03,11.7,2.8
Boonsri,23-Jan-03,11.1,2.7
Somchair,24-Jan-03,11.7,1
Busarakhan,24-Jan-03,12.1,1
Kannika,24-Jan-03,10.3,3.5
Kannika,24-Jan-03,10.1,3.5
Kannika,24-Jan-03,10.3,3.5
Sakda,24-Jan-03,10.4,3.5
Sakda,24-Jan-03,10.1,3.5
Sakda,24-Jan-03,10.3,3.5
Kohsoom,26-Jan-03,10.6,5
Chai,29-Jan-03,10.7,6
Chai,29-Jan-03,11.3,7
Chai,29-Jan-03,10.8,7
Chai,03-Feb-03,11.6,8
Chai,03-Feb-03,11.6,7
Chai,03-Feb-03,10.4,8
Boonsri,13-Feb-03,10.8,7.3
Boonsri,13-Feb-03,10.9,7
Boonsri,13-Feb-03,11,7.5
Kannika,21-Feb-03,11.2,5
Kannika,21-Feb-03,11.1,5
Kannika,21-Feb-03,11.4,5
Sakda,21-Feb-03,10.7,5
Sakda,21-Feb-03,11.2,5
Sakda,21-Feb-03,11,5
Kohsoom,28-Feb-03,10.3,5.4
Chai,28-Feb-03,11.5,10
Chai,28-Feb-03,10,10
Chai,28-Feb-03,11.4,10
Somchair,28-Feb-03,12.8,2
Busarakhan,28-Feb-03,15.4,2.5
Boonsri,06-Mar-03,10.6,6.5
Boonsri,06-Mar-03,10.6,6.9
Boonsri,06-Mar-03,10.7,6.4
Chai,19-Mar-03,9.2,14
Chai,19-Mar-03,9.6,14
Chai,19-Mar-03,9.5,14
Boonsri,20-Mar-03,10.1,8.7
Boonsri,20-Mar-03,10.5,8
Boonsri,20-Mar-03,9.1,8.5
Sakda,20-Mar-03,9.3,10
Sakda,20-Mar-03,9.4,10
Sakda,20-Mar-03,9.4,10
Kannika,21-Mar-03,9.5,10
Kannika,21-Mar-03,9.4,10
Kannika,21-Mar-03,9.4,10
Kohsoom,23-Mar-03,9.8,12.5
Chai,29-Mar-03,8.8,16
Chai,29-Mar-03,10,16
Chai,29-Mar-03,8.9,16
Somchair,30-Mar-03,10.6,5.5
Busarakhan,30-Mar-03,8.3,7
Boonsri,10-Apr-03,8.37,12
Boonsri,10-Apr-03,9.13,11.5
Boonsri,10-Apr-03,8.1,12
Chai,20-Apr-03,7.75,10
Chai,20-Apr-03,8.82,8
Chai,20-Apr-03,8.98,10
Boonsri,24-Apr-03,9.6,11.4
Boonsri,24-Apr-03,9.2,11.8
Boonsri,24-Apr-03,9.1,11.5
Kannika,25-Apr-03,8.3,13.5
Kannika,25-Apr-03,8.5,13.5
Kannika,25-Apr-03,8.5,13.5
Kohsoom,26-Apr-03,8.9,16
Somchair,26-Apr-03,10.5,12
Busarakhan,26-Apr-03,9.2,13
Sakda,26-Apr-03,8.5,13.5
Sakda,26-Apr-03,8.4,13.5
Sakda,26-Apr-03,8.4,13.5
Chai,27-Apr-03,11.2,8
Chai,27-Apr-03,9.6,8
Chai,27-Apr-03,9,8
Boonsri,08-May-03,7.48,13.5
Boonsri,08-May-03,7.8,13
Boonsri,08-May-03,7.64,13.5
Chai,18-May-03,8.46,20
Chai,18-May-03,8.23,18
Chai,18-May-03,8.7,20
Kannika,21-May-03,8.6,20
Kannika,21-May-03,8.9,20
Kannika,21-May-03,8.3,20
Boonsri,22-May-03,8.7,17.5
Boonsri,22-May-03,8.7,17.5
Boonsri,22-May-03,8.8,17.5
Somchair,22-May-03,11.9,18
Busarakhan,22-May-03,7.6,18
Sakda,22-May-03,9.1,19
Sakda,22-May-03,8.8,19
Sakda,22-May-03,8.7,19
Kohsoom,24-May-03,7.3,20.5
Chai,25-May-03,8.7,20
Chai,25-May-03,8.5,20
Chai,25-May-03,8.4,20
Boonsri,06-Jun-03,7.49,19
Boonsri,06-Jun-03,6.78,18.2
Boonsri,06-Jun-03,6.55,18.7
Chai,13-Jun-03,8.54,18
Chai,13-Jun-03,8.62,18
Chai,13-Jun-03,7.99,18
Boonsri,19-Jun-03,6.6,19.6
Boonsri,19-Jun-03,7.4,19.3
Boonsri,19-Jun-03,6.8,19.8
Kohsoom,21-Jun-03,7.7,24
Chai,21-Jun-03,6.9,21
Chai,21-Jun-03,7.3,20
Chai,21-Jun-03,7.1,21
Kannika,26-Jun-03,6.8,22
Kannika,26-Jun-03,6.9,22
Kannika,26-Jun-03,7.1,22
Sakda,26-Jun-03,7,22.5
Sakda,26-Jun-03,6.9,22.5
Sakda,26-Jun-03,6.9,22.5
Somchair,28-Jun-03,6.5,20
Busarakhan,28-Jun-03,6.9,20
Chai,06-Jul-03,7.52,21
Chai,06-Jul-03,7.76,20
Chai,06-Jul-03,7.36,21
Boonsri,10-Jul-03,6.49,26
Boonsri,10-Jul-03,6.8,25.5
Boonsri,10-Jul-03,6.56,25.5
Chai,10-Jul-03,6.7,32
Chai,10-Jul-03,7.6,32
Chai,10-Jul-03,7.6,32
Somchair,12-Jul-03,7.9,25
Busarakhan,12-Jul-03,6.4,25
Kannika,24-Jul-03,6.6,27
Kannika,24-Jul-03,6.8,27
Kannika,24-Jul-03,6.7,27
Sakda,24-Jul-03,6.7,26.5
Sakda,24-Jul-03,6.9,26.5
Sakda,24-Jul-03,7,26.5
Boonsri,25-Jul-03,5.4,22.7
Boonsri,25-Jul-03,5.1,23.5
Boonsri,25-Jul-03,5,23
Kohsoom,26-Jul-03,4.5,27
Boonsri,07-Aug-03,5.1,24.5
Boonsri,07-Aug-03,5.5,23.8
Boonsri,07-Aug-03,5.3,24.2
Kohsoom,09-Aug-03,5.8,29
Chai,16-Aug-03,9.25,25.5
Chai,16-Aug-03,9.48,25.5
Chai,16-Aug-03,8.78,25.5
Somchair,20-Aug-03,4.8,24
Busarakhan,20-Aug-03,4.6,24
Kannika,27-Aug-03,7.2,26
Kannika,27-Aug-03,7.1,26
Kannika,27-Aug-03,7.3,26
Chai,28-Aug-03,8.7,24
Chai,28-Aug-03,8.3,24
Chai,28-Aug-03,8.6,24
Boonsri,05-Sep-03,5.8,22.7
Boonsri,05-Sep-03,5.4,23.8
Boonsri,05-Sep-03,5.6,22.7
Kohsoom,13-Sep-03,5.8,19.6
Chai,13-Sep-03,8.4,20.3
Chai,13-Sep-03,8.4,20.3
Chai,13-Sep-03,8.4,20.3
Somchair,15-Sep-03,5.8,18.1
Busarakhan,16-Sep-03,7.9,19.6
Kannika,17-Sep-03,6,20.3
Kannika,17-Sep-03,6,20.3
Kannika,17-Sep-03,7.6,20.3
Sakda,18-Sep-03,7.5,20.6
Sakda,18-Sep-03,7.5,20.6
Sakda,18-Sep-03,7.5,20.8
Chai,08-Oct-03,8.2,20
Chai,08-Oct-03,8.2,20
Chai,08-Oct-03,8.6,20
Boonsri,09-Oct-03,8.42,18
Boonsri,09-Oct-03,7.96,17.5
Boonsri,09-Oct-03,8.5,17
Somchair,09-Oct-03,7.9,19
Busarakhan,09-Oct-03,9,19.5
Chai,12-Oct-03,6.22,18
Chai,12-Oct-03,7.18,18
Chai,12-Oct-03,7.85,18
Boonsri,23-Oct-03,7.2,17
Boonsri,23-Oct-03,7.9,16
Boonsri,23-Oct-03,7,17
Sakda,23-Oct-03,7.7,16
Sakda,23-Oct-03,6.8,16
Sakda,23-Oct-03,6.8,16
Kohsoom,25-Oct-03,7.9,16.6
Kannika,25-Oct-03,7.5,15
Kannika,25-Oct-03,7.4,15
Kannika,25-Oct-03,7.4,15
Boonsri,13-Nov-03,9.8,11
Boonsri,13-Nov-03,10.74,10.6
Boonsri,13-Nov-03,9.25,11
Chai,19-Nov-03,9.34,6
Chai,19-Nov-03,9.51,6
Chai,19-Nov-03,9.51,6
Kannika,20-Nov-03,9.8,7
Kannika,20-Nov-03,9.9,7
Kannika,20-Nov-03,9.6,7
Sakda,20-Nov-03,9.4,7
Sakda,20-Nov-03,9.6,7
Sakda,20-Nov-03,9.8,7
Somchair,22-Nov-03,10.9,4
Busarakhan,22-Nov-03,11.1,4
Boonsri,27-Nov-03,11.3,4.2
Boonsri,27-Nov-03,10,4.8
Boonsri,27-Nov-03,9.9,4.4
Chai,28-Nov-03,10.9,6
Chai,28-Nov-03,10.4,5
Chai,28-Nov-03,10.8,6
Kohsoom,29-Nov-03,8,6
Boonsri,04-Dec-03,9.66,3
Boonsri,04-Dec-03,10.44,3.5
Boonsri,04-Dec-03,9.5,3
Chai,14-Dec-03,11.29,2
Chai,14-Dec-03,11.05,2
Chai,14-Dec-03,10.27,2
Boonsri,18-Dec-03,10.9,0.8
Boonsri,18-Dec-03,10.5,1
Boonsri,18-Dec-03,10,1
Somchair,19-Dec-03,11.8,0
Busarakhan,19-Dec-03,13.2,0
Kohsoom,20-Dec-03,8.8,4
Chai,21-Dec-03,12.9,2
Chai,21-Dec-03,12.8,2
Chai,21-Dec-03,12.6,2
Boonsri,08-Jan-04,11.62,0.2
Chai,22-Jan-04,11.02,2
Chai,22-Jan-04,11.34,2
Chai,22-Jan-04,11.26,2
Somchair,23-Jan-04,7.4,2
Busarakhan,23-Jan-04,8.1,2
Boonsri,29-Jan-04,10.7,3
Boonsri,29-Jan-04,10.4,3
Boonsri,29-Jan-04,10.6,3
Sakda,29-Jan-04,11.5,3.5
Sakda,29-Jan-04,11.3,3.5
Sakda,29-Jan-04,11.4,3.5
Chai,30-Jan-04,12,5
Chai,30-Jan-04,12.5,5
Chai,30-Jan-04,11.8,5
Kohsoom,31-Jan-04,8.3,5.4
Boonsri,12-Feb-04,10.53,3.3
Boonsri,12-Feb-04,11.16,3
Boonsri,12-Feb-04,10.69,3.5
Chai,13-Feb-04,9.4,3
Chai,13-Feb-04,10.1,3
Chai,13-Feb-04,10.1,3
Busarakhan,14-Feb-04,12,2
Kannika,19-Feb-04,9.9,7.5
Kannika,19-Feb-04,10.6,7.5
Kannika,19-Feb-04,10.2,7.5
Chai,22-Feb-04,9.84,8
Chai,22-Feb-04,9.6,7
Chai,22-Feb-04,9.76,8
Boonsri,26-Feb-04,10.1,7
Boonsri,26-Feb-04,10.4,6.5
Boonsri,26-Feb-04,9.9,6.5
Kohsoom,28-Feb-04,8.5,11.8
Boonsri,12-Mar-04,8.87,10
Boonsri,12-Mar-04,9.1,10
Boonsri,12-Mar-04,8.71,10
Chai,12-Mar-04,9.31,6
Chai,12-Mar-04,9.81,6
Chai,12-Mar-04,9.97,6
Somchair,14-Mar-04,10,10
Busarakhan,14-Mar-04,12.9,12
Sakda,19-Mar-04,9.5,9
Sakda,19-Mar-04,9.1,9
Sakda,19-Mar-04,9.2,9
Chai,21-Mar-04,7.1,10
Chai,21-Mar-04,7.8,10
Chai,21-Mar-04,8.1,10
Boonsri,26-Mar-04,10.2,8
Boonsri,26-Mar-04,9.7,8
Boonsri,26-Mar-04,10.1,8
Kohsoom,28-Mar-04,8.8,12.5
Kannika,30-Mar-04,9.8,9
Kannika,30-Mar-04,10,9
Kannika,30-Mar-04,9.9,9
Boonsri,09-Apr-04,10.14,8.5
Boonsri,09-Apr-04,9.59,8.2
Boonsri,09-Apr-04,10.06,8.5
Chai,12-Apr-04,10.18,9
Chai,12-Apr-04,10.1,8
Chai,12-Apr-04,10.26,9
Somchair,16-Apr-04,10.1,10
Busarakhan,16-Apr-04,10.5,10
Chai,22-Apr-04,9.3,7
Chai,22-Apr-04,9.6,7
Chai,22-Apr-04,9.6,7
Boonsri,23-Apr-04,8.4,14.4
Boonsri,23-Apr-04,8.8,14.3
Boonsri,23-Apr-04,7.8,14.3
Sakda,23-Apr-04,9.1,12.5
Sakda,23-Apr-04,9.3,12.5
Sakda,23-Apr-04,9.4,13.5
Kannika,24-Apr-04,9.3,12.5
Kannika,24-Apr-04,9.1,13
Kannika,24-Apr-04,9.4,13
Kohsoom,25-Apr-04,8.3,15.6
Boonsri,07-May-04,8.27,16.5
Boonsri,07-May-04,8.58,16
Boonsri,07-May-04,8.35,16.5
Chai,16-May-04,10.4,18
Chai,16-May-04,10.7,18
Chai,16-May-04,10.4,18
Kannika,22-May-04,8.4,19
Kannika,22-May-04,8.1,19
Kannika,22-May-04,8.2,19
Sakda,22-May-04,7.9,19
Sakda,22-May-04,7.8,19
Sakda,22-May-04,8,19
Boonsri,28-May-04,7.5,23
Boonsri,28-May-04,7.7,23
Boonsri,28-May-04,7.4,23
Chai,29-May-04,7.91,12
Chai,29-May-04,7.84,12
Chai,29-May-04,8.31,12
Kohsoom,30-May-04,7.8,21.8
Somchair,30-May-04,7.6,23
Boonsri,11-Jun-04,6.16,19.5
Boonsri,11-Jun-04,6.86,19
Boonsri,11-Jun-04,6.47,20
Kannika,12-Jun-04,7.3,22
Kannika,12-Jun-04,7.4,22
Kannika,12-Jun-04,7.2,22
Sakda,12-Jun-04,7.5,22
Sakda,12-Jun-04,7.4,22
Sakda,12-Jun-04,7.6,22
Chai,18-Jun-04,9.2,24
Chai,18-Jun-04,8.9,24
Chai,18-Jun-04,8.7,24
Somchair,19-Jun-04,7.4,19
Busarakhan,19-Jun-04,6.6,20
Boonsri,25-Jun-04,5.6,27
Boonsri,25-Jun-04,5.2,26
Boonsri,25-Jun-04,5.3,26.5
Kohsoom,27-Jun-04,7.2,27.6
Chai,27-Jun-04,6.41,22
Chai,27-Jun-04,7.6,22
Chai,27-Jun-04,7.68,22
Somchair,02-Jul-04,10.2,25
Busarakhan,02-Jul-04,6.2,26
Boonsri,09-Jul-04,6,28
Boonsri,09-Jul-04,6.63,27.5
Boonsri,09-Jul-04,6.47,28
Kannika,10-Jul-04,6.6,26.5
Kannika,10-Jul-04,6.1,26.5
Kannika,10-Jul-04,6.3,26.5
Sakda,10-Jul-04,6.6,26
Sakda,10-Jul-04,6.5,26
Sakda,10-Jul-04,6.6,26
Chai,12-Jul-04,6.1,25
Chai,12-Jul-04,8.1,25
Chai,12-Jul-04,7.5,25
Chai,18-Jul-04,5.38,27
Chai,18-Jul-04,6.76,26
Chai,18-Jul-04,6.07,27
Boonsri,23-Jul-04,6.6,25
Boonsri,23-Jul-04,6,24
Boonsri,23-Jul-04,6.2,24.5
Kohsoom,25-Jul-04,6.9,36.4
Boonsri,13-Aug-04,6.07,25
Boonsri,13-Aug-04,6.52,24
Boonsri,13-Aug-04,6.22,24.5
Chai,13-Aug-04,6.2,23
Chai,13-Aug-04,7.2,23
Chai,13-Aug-04,7.3,23
Somchair,14-Aug-04,7.2,23
Busarakhan,14-Aug-04,7.4,23
Kannika,19-Aug-04,5.6,20
Kannika,19-Aug-04,5.3,20
Kannika,19-Aug-04,5.4,20
Sakda,19-Aug-04,5.5,21
Sakda,19-Aug-04,5.6,21
Sakda,19-Aug-04,5.8,21
Chai,23-Aug-04,6.91,26
Chai,23-Aug-04,7.45,25
Chai,23-Aug-04,6.98,26
Boonsri,27-Aug-04,6.2,23.1
Boonsri,27-Aug-04,6.3,23.5
Boonsri,27-Aug-04,6.4,23.7
Kohsoom,29-Aug-04,6.8,26
Kannika,03-Sep-04,7.1,21.5
Kannika,03-Sep-04,7.2,21.5
Kannika,03-Sep-04,7.3,21.5
Sakda,03-Sep-04,7.5,21
Sakda,03-Sep-04,7.3,21
Sakda,03-Sep-04,7.2,21
Somchair,04-Sep-04,7.4,23
Busarakhan,04-Sep-04,6.4,22
Chai,09-Sep-04,6.3,24
Chai,09-Sep-04,7.5,24
Chai,09-Sep-04,6.8,24
Boonsri,10-Sep-04,6.46,22
Boonsri,10-Sep-04,6.69,22
Boonsri,10-Sep-04,6.58,22
Chai,17-Sep-04,7.03,20
Chai,17-Sep-04,6.54,19
Chai,17-Sep-04,6.14,20
Boonsri,24-Sep-04,6.77,20
Boonsri,24-Sep-04,6.85,20
Boonsri,24-Sep-04,7.09,20
Kohsoom,27-Sep-04,6.72,21.3
Boonsri,08-Oct-04,7.49,12
Boonsri,08-Oct-04,8.42,11.5
Boonsri,08-Oct-04,8.16,12
Chai,11-Oct-04,8.8,12
Chai,11-Oct-04,8.1,12
Chai,11-Oct-04,8.4,12
Somchair,21-Oct-04,9.3,17
Boonsri,22-Oct-04,8.97,13.5
Boonsri,22-Oct-04,9.13,13
Boonsri,22-Oct-04,8.84,13
Kohsoom,24-Oct-04,7.78,17
Boonsri,05-Nov-04,9.13,9
Boonsri,05-Nov-04,8.89,9.5
Boonsri,05-Nov-04,8.97,9
Chai,21-Nov-04,9.92,7
Chai,21-Nov-04,10.07,7
Chai,21-Nov-04,10.23,7
Boonsri,26-Nov-04,9.31,10
Boonsri,26-Nov-04,9.47,9
Boonsri,26-Nov-04,9.39,9
Kohsoom,28-Nov-04,9.18,12.5
Boonsri,03-Dec-04,9.4,7.3
Boonsri,03-Dec-04,9.9,7
Boonsri,03-Dec-04,9,7.2
Somchair,03-Dec-04,11.5,8
Busarakhan,03-Dec-04,10.4,7
Chai,05-Dec-04,10.6,5
Chai,05-Dec-04,10.9,5
Chai,05-Dec-04,10.8,5
Kannika,11-Dec-04,10.9,4
Kannika,11-Dec-04,11.1,4
Kannika,11-Dec-04,10.8,4
Sakda,11-Dec-04,10.7,3.5
Sakda,11-Dec-04,10.8,3.5
Sakda,11-Dec-04,10.9,3.5
Boonsri,17-Dec-04,11.08,3
Kohsoom,19-Dec-04,9.9,1.5
Boonsri,14-Jan-05,11.1,1.8
Boonsri,14-Jan-05,11.02,2.2
Boonsri,14-Jan-05,11.33,2
Kannika,16-Jan-05,11.4,1.5
Kannika,16-Jan-05,11.1,1.5
Kannika,16-Jan-05,11.3,1.5
Sakda,16-Jan-05,11.2,1.5
Sakda,16-Jan-05,11.1,1.5
Sakda,16-Jan-05,10.9,1.5
Somchair,22-Jan-05,10.4,1
Busarakhan,22-Jan-05,10.3,1
Chai,27-Jan-05,11.4,2
Chai,27-Jan-05,11.2,2
Chai,27-Jan-05,11.5,2
Boonsri,28-Jan-05,9.5,4
Boonsri,28-Jan-05,10.1,4
Boonsri,28-Jan-05,10,4
Kohsoom,30-Jan-05,9,4.6
Chai,31-Jan-05,10.8,1
Chai,31-Jan-05,10.96,1
Chai,31-Jan-05,10.8,1
Boonsri,11-Feb-05,10.73,2.8
Boonsri,11-Feb-05,11.15,2.6
Boonsri,11-Feb-05,10.92,2.8
Kannika,11-Feb-05,11.8,0.5
Kannika,11-Feb-05,12,0.5
Kannika,11-Feb-05,11.9,0.5
Sakda,11-Feb-05,11.7,0.5
Sakda,11-Feb-05,11.8,0.5
Sakda,11-Feb-05,11.9,0.5
Somchair,20-Feb-05,9.7,1
Busarakhan,20-Feb-05,9.5,1
Chai,21-Feb-05,10.6,0
Chai,21-Feb-05,11.3,0
Chai,21-Feb-05,10.5,0
Boonsri,24-Feb-05,12.3,1.8
Boonsri,24-Feb-05,12.5,1.2
Boonsri,24-Feb-05,12.4,1.6
Kohsoom,27-Feb-05,11.6,4.2
Chai,28-Feb-05,10.46,3.5
Chai,28-Feb-05,10.54,3.5
Chai,28-Feb-05,10.62,3.5
Boonsri,11-Mar-05,10.58,7
Boonsri,11-Mar-05,11.12,6
Boonsri,11-Mar-05,11.05,7
Kannika,11-Mar-05,11.9,3.5
Kannika,11-Mar-05,12,3.5
Kannika,11-Mar-05,12.1,3.5
Sakda,11-Mar-05,11.9,3
Sakda,11-Mar-05,11.8,3
Sakda,11-Mar-05,11.9,3
Chai,17-Mar-05,10.8,2
Chai,17-Mar-05,11.1,2
Chai,17-Mar-05,10.8,2
Somchair,24-Mar-05,9.8,1
Busarakhan,24-Mar-05,11.2,2
Boonsri,25-Mar-05,11.1,6.5
Boonsri,25-Mar-05,10.7,7
Boonsri,25-Mar-05,11,6.5
Kohsoom,27-Mar-05,10.7,10.4
Chai,31-Mar-05,9.72,9
Chai,31-Mar-05,10.36,10
Chai,31-Mar-05,10.61,10
Boonsri,08-Apr-05,10.46,7
Boonsri,08-Apr-05,10.61,6.5
Boonsri,08-Apr-05,10.54,7
Kannika,08-Apr-05,8.1,7.5
Kannika,08-Apr-05,9.1,7.5
Kannika,08-Apr-05,8.2,7.5
Sakda,08-Apr-05,8.9,8
Sakda,08-Apr-05,8.8,8
Sakda,08-Apr-05,8.9,8
Chai,11-Apr-05,10.7,5
Chai,11-Apr-05,10.7,5
Chai,11-Apr-05,10.5,5
Chai,21-Apr-05,8.06,10
Chai,21-Apr-05,8.5,10
Chai,21-Apr-05,8.58,10
Boonsri,22-Apr-05,9.8,13
Boonsri,22-Apr-05,10.1,11.8
Boonsri,22-Apr-05,10,12.5
Somchair,24-Apr-05,10.6,14
Busarakhan,24-Apr-05,11.7,14
Kohsoom,25-Apr-05,9.4,14.4
Boonsri,13-May-05,7.92,17
Boonsri,13-May-05,7.29,16
Boonsri,13-May-05,8.78,16.5
Kannika,13-May-05,7.84,20.5
Kannika,13-May-05,7.92,20.5
Kannika,13-May-05,8.12,20.5
Sakda,13-May-05,8.8,20
Sakda,13-May-05,8.9,20
Sakda,13-May-05,8.9,20
Chai,16-May-05,10.8,13
Chai,16-May-05,10.6,13
Chai,16-May-05,10.7,13
Chai,23-May-05,8.96,22
Chai,23-May-05,9.75,20
Chai,23-May-05,9.2,22
Boonsri,28-May-05,7.06,23
Boonsri,28-May-05,6.68,22
Boonsri,28-May-05,6.83,22
Kohsoom,29-May-05,6.7,22.4
Somchair,29-May-05,7,21
Busarakhan,29-May-05,7,22
Boonsri,10-Jun-05,5.9,27.5
Boonsri,10-Jun-05,6.05,27.200001
Boonsri,10-Jun-05,5.82,27.5
Kannika,10-Jun-05,5.2,25.5
Kannika,10-Jun-05,6.1,25.5
Kannika,10-Jun-05,6,25.5
Sakda,10-Jun-05,7.3,26
Sakda,10-Jun-05,7.2,26
