location,sample date,Orthophosphate-phosphorus,Total phosphorus
Boonsri,23/05/2002,0.02,0.07
Boonsri,23/05/2002,0.1,0.12
Kohsoom,25/05/2002,0.13,0.14
Chai,25/05/2002,0.007,0.04
Chai,25/05/2002,0.005,0.04
Chai,25/05/2002,0.007,0.05
Chai,12/06/2002,0.005,0.06
Chai,12/06/2002,0.009,0.05
Chai,12/06/2002,0.01,0.05
Boonsri,13/06/2002,0.1,0.15
Boonsri,13/06/2002,0.07,0.12
Boonsri,13/06/2002,0.09,0.14
Chai,21/06/2002,0.01,0.04
Chai,21/06/2002,0.006,0.03
Chai,21/06/2002,0.005,0.03
Somchair,22/06/2002,0.005,0.03
Busarakhan,22/06/2002,0.005,0.02
Kannika,22/06/2002,0.01,0.06
Kannika,22/06/2002,0.02,0.05
Kannika,22/06/2002,0.02,0.05
Sakda,22/06/2002,0.01,0.08
Sakda,22/06/2002,0.05,0.06
Sakda,22/06/2002,0.02,0.04
Boonsri,27/06/2002,0.08,0.1
Boonsri,27/06/2002,0.15,0.18
Boonsri,27/06/2002,0.14,0.17
Kohsoom,29/06/2002,0.12,0.17
Boonsri,12/07/2002,0.1,0.12
Boonsri,12/07/2002,0.12,0.14
Boonsri,12/07/2002,0.11,0.14
Chai,13/07/2002,0.02,0.06
Chai,13/07/2002,0.009,0.04
Chai,13/07/2002,0.01,0.04
Sakda,20/07/2002,0.03,0.05
Sakda,20/07/2002,0.005,0.02
Sakda,20/07/2002,0.006,0.02
Chai,24/07/2002,0.01,0.03
Chai,24/07/2002,0.01,0.03
Chai,24/07/2002,0.01,0.03
Boonsri,25/07/2002,0.09,0.11
Boonsri,25/07/2002,0.1,0.12
Boonsri,25/07/2002,0.08,0.1
Kannika,25/07/2002,0.005,0.03
Kannika,25/07/2002,0.005,0.02
Kannika,25/07/2002,0.005,0.02
Somchair,26/07/2002,0.02,0.06
Busarakhan,26/07/2002,0.01,0.04
Kohsoom,27/07/2002,0.15,0.2
Boonsri,08/08/2002,0.13,0.17
Boonsri,08/08/2002,0.12,0.16
Boonsri,08/08/2002,0.13,0.16
Chai,10/08/2002,0.04,0.1
Chai,10/08/2002,0.01,0.04
Chai,10/08/2002,0.06,0.1
Chai,21/08/2002,0.01,0.04
Chai,21/08/2002,0.01,0.03
Chai,21/08/2002,0.02,0.05
Kannika,21/08/2002,0.02,0.04
Kannika,21/08/2002,0.03,0.05
Kannika,21/08/2002,0.03,0.05
Boonsri,22/08/2002,0.12,0.17
Boonsri,22/08/2002,0.1,0.14
Boonsri,22/08/2002,0.08,0.12
Somchair,22/08/2002,0.009,0.03
Busarakhan,22/08/2002,0.02,0.04
Sakda,23/08/2002,0.03,0.05
Sakda,23/08/2002,0.06,0.09
Sakda,23/08/2002,0.01,0.04
Kohsoom,24/08/2002,0.15,0.18
Boonsri,12/09/2002,0.1,0.13
Boonsri,12/09/2002,0.1,0.13
Boonsri,12/09/2002,0.1,0.13
Somchair,12/09/2002,0.01,0.04
Busarakhan,12/09/2002,0.01,0.05
Chai,13/09/2002,0.04,0.07
Chai,13/09/2002,0.03,0.07
Chai,13/09/2002,0.01,0.04
Boonsri,19/09/2002,0.06,0.1
Boonsri,19/09/2002,0.1,0.12
Boonsri,19/09/2002,0.09,0.12
Kohsoom,21/09/2002,0.14,0.18
Kannika,21/09/2002,0.007,0.04
Kannika,21/09/2002,0.008,0.04
Kannika,21/09/2002,0.007,0.04
Sakda,21/09/2002,0.03,0.08
Sakda,21/09/2002,0.04,0.09
Sakda,21/09/2002,0.02,0.06
Chai,25/09/2002,0.01,0.04
Chai,25/09/2002,0.02,0.04
Chai,25/09/2002,0.02,0.05
Boonsri,27/09/2002,0.03,0.05
Boonsri,27/09/2002,0.03,0.05
Boonsri,27/09/2002,0.02,0.06
Boonsri,10/10/2002,0.18,0.24
Boonsri,10/10/2002,0.16,0.21
Boonsri,10/10/2002,0.18,0.24
Kohsoom,10/10/2002,0.47,0.8
Chai,10/10/2002,0.13,0.25
Chai,10/10/2002,0.1,0.17
Chai,10/10/2002,0.08,0.14
Somchair,12/10/2002,0.08,0.14
Busarakhan,12/10/2002,0.05,0.12
Kannika,12/10/2002,0.06,0.11
Kannika,12/10/2002,0.07,0.11
Kannika,12/10/2002,0.07,0.11
Sakda,12/10/2002,0.06,0.11
Sakda,12/10/2002,0.06,0.12
Sakda,12/10/2002,0.07,0.13
Boonsri,24/10/2002,0.14,0.18
Boonsri,24/10/2002,0.18,0.22
Boonsri,24/10/2002,0.2,0.25
Chai,24/10/2002,0.005,0.04
Chai,24/10/2002,0.02,0.04
Chai,24/10/2002,0.03,0.05
Kohsoom,26/10/2002,0.13,0.19
Somchair,26/10/2002,0.007,0.04
Busarakhan,26/10/2002,0.06,0.09
Kannika,26/10/2002,0.008,0.04
Kannika,26/10/2002,0.03,0.05
Kannika,26/10/2002,0.03,0.05
Sakda,26/10/2002,0.04,0.07
Sakda,26/10/2002,0.06,0.09
Sakda,26/10/2002,0.01,0.04
Chai,30/10/2002,0.006,0.03
Chai,30/10/2002,0.006,0.03
Chai,30/10/2002,0.01,0.04
Boonsri,07/11/2002,0.21,0.23
Boonsri,07/11/2002,0.2,0.22
Boonsri,07/11/2002,0.21,0.24
Chai,07/11/2002,0.03,0.06
Chai,07/11/2002,0.03,0.06
Chai,07/11/2002,0.03,0.06
Boonsri,21/11/2002,0.09,0.12
Boonsri,21/11/2002,0.11,0.14
Boonsri,21/11/2002,0.14,0.18
Kohsoom,23/11/2002,0.11,0.15
Chai,06/12/2002,0.02,0.05
Chai,06/12/2002,0.01,0.04
Chai,06/12/2002,0.01,0.04
Boonsri,12/12/2002,0.14,0.18
Boonsri,12/12/2002,0.17,0.2
Boonsri,12/12/2002,0.12,0.16
Chai,13/12/2002,0.07,0.09
Chai,13/12/2002,0.06,0.09
Chai,13/12/2002,0.07,0.1
Sakda,14/12/2002,0.03,0.04
Sakda,14/12/2002,0.02,0.03
Sakda,14/12/2002,0.03,0.05
Somchair,15/12/2002,0.01,0.02
Busarakhan,15/12/2002,0.01,0.03
Kannika,18/12/2002,0.02,0.04
Kannika,18/12/2002,0.03,0.05
Kannika,18/12/2002,0.03,0.05
Boonsri,19/12/2002,0.16,0.2
Boonsri,19/12/2002,0.11,0.15
Boonsri,19/12/2002,0.18,0.22
Kohsoom,22/12/2002,0.12,0.17
Kohsoom,26/01/2003,0.13,0.18
Chai,03/02/2003,0.014,0.024
Chai,03/02/2003,0.005,0.023
Chai,03/02/2003,0.006,0.023
Kannika,21/02/2003,0,0.013
Kannika,21/02/2003,0,0.013
Kannika,21/02/2003,0.005,0.019
Sakda,21/02/2003,0.023,0.028
Sakda,21/02/2003,0.005,0.016
Sakda,21/02/2003,0.017,0.023
Kohsoom,28/02/2003,0.15,0.19
Chai,28/02/2003,0.03,0.032
Chai,28/02/2003,0.022,0.032
Chai,28/02/2003,0.025,0.032
Somchair,28/02/2003,0.039,0.082
Busarakhan,28/02/2003,0.005,0.023
Chai,19/03/2003,0.029,0.06
Chai,19/03/2003,0.451,0.518
Chai,19/03/2003,0.043,0.138
Sakda,20/03/2003,0.034,0.085
Sakda,20/03/2003,0.031,0.068
Sakda,20/03/2003,0.032,0.06
Kannika,21/03/2003,0.034,0.035
Kannika,21/03/2003,0.019,0.081
Kannika,21/03/2003,0.033,0.062
Kohsoom,23/03/2003,0.12,0.17
Chai,29/03/2003,0.018,0.021
Chai,29/03/2003,0.019,0.022
Chai,29/03/2003,0.019,0.022
Somchair,30/03/2003,0.149,0.173
Busarakhan,30/03/2003,0.018,0.029
Boonsri,10/04/2003,0.04,0.1
Boonsri,10/04/2003,0.018,0.12
Boonsri,10/04/2003,0.068,0.127
Chai,20/04/2003,0.017,0.035
Chai,20/04/2003,0.005,0.041
Chai,20/04/2003,0.028,0.033
Boonsri,24/04/2003,0.048,0.091
Boonsri,24/04/2003,0.06,0.117
Boonsri,24/04/2003,0.09,0.225
Kannika,25/04/2003,0.018,0.02
Kannika,25/04/2003,0.005,0.052
Kannika,25/04/2003,0.007,0.019
Kohsoom,26/04/2003,0.16,0.21
Somchair,26/04/2003,0.005,0.012
Busarakhan,26/04/2003,0.032,0.034
Sakda,26/04/2003,0.008,0.018
Sakda,26/04/2003,0.005,0.024
Sakda,26/04/2003,0.023,0.029
Chai,27/04/2003,0.019,0.021
Chai,27/04/2003,0.006,0.042
Chai,27/04/2003,0.034,0.044
Boonsri,08/05/2003,0.04,0.09
Boonsri,08/05/2003,0.058,0.22
Boonsri,08/05/2003,0.06,0.11
Chai,18/05/2003,0.021,0.041
Chai,18/05/2003,0.006,0.01
Chai,18/05/2003,0.01,0.016
Kannika,21/05/2003,0.005,0.046
Kannika,21/05/2003,0.005,0.019
Kannika,21/05/2003,0.005,0.013
Somchair,22/05/2003,0.022,0.056
Busarakhan,22/05/2003,0.017,0.032
Sakda,22/05/2003,0.005,0.03
Sakda,22/05/2003,0.005,0.036
Sakda,22/05/2003,0.005,0.027
Kohsoom,24/05/2003,0.15,0.22
Chai,25/05/2003,0.033,0.058
Chai,25/05/2003,0.011,0.029
Chai,25/05/2003,0.021,0.042
Boonsri,06/06/2003,0.09,0.182
Boonsri,06/06/2003,0.006,0.182
Boonsri,06/06/2003,0.082,0.176
Chai,13/06/2003,0,0.0078
Chai,13/06/2003,0.005,0.009
Chai,13/06/2003,0,0.006
Boonsri,19/06/2003,0.072,0.089
Boonsri,19/06/2003,0.088,0.098
Boonsri,19/06/2003,0.088,0.092
Kohsoom,21/06/2003,0.17,0.24
Chai,21/06/2003,0.012,0.022
Chai,21/06/2003,0.035,0.036
Chai,21/06/2003,0.037,0.039
Kannika,26/06/2003,0.033,0.035
Kannika,26/06/2003,0.035,0.036
Kannika,26/06/2003,0.014,0.018
Sakda,26/06/2003,0.025,0.026
Sakda,26/06/2003,0.012,0.014
Sakda,26/06/2003,0.025,0.026
Somchair,28/06/2003,0.027,0.029
Busarakhan,28/06/2003,0.005,0.009
Chai,06/07/2003,0.045,0.05
Chai,06/07/2003,0,0.01
Chai,06/07/2003,0.006,0.01
Boonsri,10/07/2003,0.039,0.047
Boonsri,10/07/2003,0.055,0.062
Boonsri,10/07/2003,0.065,0.074
Chai,10/07/2003,0.034,0.038
Chai,10/07/2003,0.032,0.036
Chai,10/07/2003,0.01,0.034
Somchair,12/07/2003,0.06,0.065
Busarakhan,12/07/2003,0.036,0.04
Kannika,24/07/2003,0.047,0.051
Kannika,24/07/2003,0.048,0.051
Kannika,24/07/2003,0.058,0.06
Sakda,24/07/2003,0.062,0.065
Sakda,24/07/2003,0.05,0.06
Sakda,24/07/2003,0.052,0.06
Boonsri,25/07/2003,0.11,0.125
Boonsri,25/07/2003,0.12,0.128
Boonsri,25/07/2003,0.117,0.126
Kohsoom,26/07/2003,0.2,0.26
Boonsri,07/08/2003,0.104,0.11
Boonsri,07/08/2003,0.136,0.158
Boonsri,07/08/2003,0.136,0.162
Kohsoom,09/08/2003,0.24,0.3
Chai,16/08/2003,0.008,0.027
Chai,16/08/2003,0.022,0.03
Chai,16/08/2003,0.025,0.029
Somchair,20/08/2003,0.009,0.078
Busarakhan,20/08/2003,0.009,0.076
Kannika,27/08/2003,0.165,0.211
Kannika,27/08/2003,0.038,0.04
Kannika,27/08/2003,0.03,0.053
Chai,28/08/2003,0.009,0.083
Chai,28/08/2003,0.016,0.022
Chai,28/08/2003,0.03,0.057
Sakda,28/08/2003,0.026,0.018
Sakda,28/08/2003,0.026,0.045
Sakda,28/08/2003,0.026,0.033
Boonsri,05/09/2003,0.07,0.14
Boonsri,05/09/2003,0.07,0.13
Boonsri,05/09/2003,0.1,0.16
Kohsoom,13/09/2003,0.24,0.31
Chai,13/09/2003,0.031,0.106
Chai,13/09/2003,0.033,0.038
Chai,13/09/2003,0.006,0.032
Somchair,15/09/2003,0.005,0.014
Busarakhan,16/09/2003,0.027,0.168
Kannika,17/09/2003,0.031,0.15
Kannika,17/09/2003,0.07,0.202
Kannika,17/09/2003,0.012,0.238
Sakda,18/09/2003,0.014,0.167
Sakda,18/09/2003,0.037,0.201
Sakda,18/09/2003,0.012,0.251
Chai,08/10/2003,0.022,0.099
Chai,08/10/2003,0.019,0.124
Chai,08/10/2003,0.018,0.125
Boonsri,09/10/2003,0.048,0.057
Boonsri,09/10/2003,0.068,0.074
Boonsri,09/10/2003,0.11,0.13
Somchair,09/10/2003,0.036,0.172
Busarakhan,09/10/2003,0.137,0.27
Chai,12/10/2003,0.036,0.085
Chai,12/10/2003,0.028,0.082
Chai,12/10/2003,0.026,0.059
Boonsri,23/10/2003,0.104,0.11
Boonsri,23/10/2003,0.127,0.13
Boonsri,23/10/2003,0.136,0.14
Sakda,23/10/2003,0.059,0.195
Sakda,23/10/2003,0.044,0.224
Sakda,23/10/2003,0.043,0.224
Kohsoom,25/10/2003,0.16,0.29
Kannika,25/10/2003,0.023,0.229
Kannika,25/10/2003,0.175,0.29
Kannika,25/10/2003,0.045,0.222
Boonsri,13/11/2003,0.097,0.1
Boonsri,13/11/2003,0.094,0.097
Boonsri,13/11/2003,0.088,0.09
Chai,19/11/2003,0.043,0.117
Chai,19/11/2003,0.057,0.092
Chai,19/11/2003,0.061,0.104
Kannika,20/11/2003,0.041,0.121
Kannika,20/11/2003,0.045,0.1
Kannika,20/11/2003,0.048,0.185
Sakda,20/11/2003,0.009,0.055
Sakda,20/11/2003,0.105,0.123
Sakda,20/11/2003,0.073,0.134
Somchair,22/11/2003,0.026,0.108
Busarakhan,22/11/2003,0.013,0.098
Boonsri,27/11/2003,0.081,0.09
Boonsri,27/11/2003,0.065,0.071
Boonsri,27/11/2003,0.072,0.082
Chai,28/11/2003,0.029,0.042
Chai,28/11/2003,0.042,0.053
Chai,28/11/2003,0.037,0.117
Kohsoom,29/11/2003,0.13,0.27
Boonsri,04/12/2003,0.12,0.125
Boonsri,04/12/2003,0.11,0.12
Boonsri,04/12/2003,0.127,0.13
Chai,14/12/2003,0.03,0.06
Chai,14/12/2003,0.031,0.066
Chai,14/12/2003,0.048,0.077
Boonsri,18/12/2003,0.185,0.19
Boonsri,18/12/2003,0.228,0.23
Boonsri,18/12/2003,0.137,0.15
Kannika,18/12/2003,0.021,0.102
Kannika,18/12/2003,0.022,0.095
Kannika,18/12/2003,0.019,0.092
Sakda,18/12/2003,0.043,0.098
Sakda,18/12/2003,0.014,0.095
Sakda,18/12/2003,0.016,0.083
Somchair,19/12/2003,0.014,0.028
Busarakhan,19/12/2003,0.029,0.05
Kohsoom,20/12/2003,0.15,0.3
Chai,21/12/2003,0.015,0.028
Chai,21/12/2003,0.009,0.02
Chai,21/12/2003,0.008,0.018
Boonsri,08/01/2004,0,0
Chai,22/01/2004,0.021,0.027
Chai,22/01/2004,0.032,0.037
Chai,22/01/2004,0.022,0.027
Somchair,23/01/2004,0.033,0.042
Busarakhan,23/01/2004,0.028,0.035
Boonsri,29/01/2004,0.08,0.085
Boonsri,29/01/2004,0.09,0.095
Boonsri,29/01/2004,0.12,0.126
Sakda,29/01/2004,0.005,0.032
Sakda,29/01/2004,0.005,0.015
Sakda,29/01/2004,0.013,0.015
Chai,30/01/2004,0.005,0.018
Chai,30/01/2004,0.007,0.018
Chai,30/01/2004,0.027,0.03
Kohsoom,31/01/2004,0.13,0.22
Boonsri,12/02/2004,0.049,0.061
Boonsri,12/02/2004,0.065,0.07
Boonsri,12/02/2004,0.081,0.09
Boonsri,26/02/2004,0.101,0.11
Boonsri,26/02/2004,0.101,0.12
Boonsri,26/02/2004,0.088,0.095
Kohsoom,28/02/2004,0.15,0.19
Boonsri,12/03/2004,0.097,0.1
Boonsri,12/03/2004,0.114,0.12
Boonsri,12/03/2004,0.179,0.19
Boonsri,26/03/2004,0.097,0.11
Boonsri,26/03/2004,0.156,0.2
Boonsri,26/03/2004,0.169,0.22
Kohsoom,28/03/2004,0.19,0.33
Boonsri,09/04/2004,0.045,0.055
Boonsri,09/04/2004,0.048,0.051
Boonsri,09/04/2004,0.084,0.09
Boonsri,23/04/2004,0.052,0.06
Boonsri,23/04/2004,0.048,0.05
Boonsri,23/04/2004,0.042,0.05
Kohsoom,25/04/2004,0.22,0.36
Boonsri,07/05/2004,0.058,0.061
Boonsri,07/05/2004,0.052,0.055
Boonsri,07/05/2004,0.055,0.06
Boonsri,28/05/2004,0.11,0.12
Boonsri,28/05/2004,0.055,0.06
Boonsri,28/05/2004,0.068,0.07
Kohsoom,30/05/2004,0.19,0.31
Boonsri,11/06/2004,0.045,0.052
Boonsri,11/06/2004,0.032,0.04
Boonsri,11/06/2004,0.039,0.045
Boonsri,25/06/2004,0.1,0.12
Boonsri,25/06/2004,0.1,0.11
Boonsri,25/06/2004,0.07,0.08
Kohsoom,27/06/2004,0.21,0.4
Boonsri,09/07/2004,0.058,0.061
Boonsri,09/07/2004,0.062,0.07
Boonsri,09/07/2004,0.026,0.03
Boonsri,23/07/2004,0.072,0.081
Boonsri,23/07/2004,0.055,0.063
Boonsri,23/07/2004,0.045,0.054
Kohsoom,25/07/2004,0.24,0.46
Boonsri,13/08/2004,0.023,0.04
Boonsri,13/08/2004,0.029,0.048
Boonsri,13/08/2004,0.027,0.051
Boonsri,27/08/2004,0.0267,0.029
Boonsri,27/08/2004,0.0225,0.025
Boonsri,27/08/2004,0.021,0.027
Kohsoom,29/08/2004,0.27,0.44
Kannika,03/09/2004,0.078,0.083
Kannika,03/09/2004,0,0.025
Kannika,03/09/2004,0,0.02
Sakda,03/09/2004,0,0.012
Sakda,03/09/2004,0.033,0.044
Sakda,03/09/2004,0,0.025
Somchair,04/09/2004,0.047,0.088
Busarakhan,04/09/2004,0.038,0.055
Chai,09/09/2004,0.037,0.042
Chai,09/09/2004,0.072,0.088
Chai,09/09/2004,0.043,0.055
Boonsri,10/09/2004,0.088,0.092
Boonsri,10/09/2004,0.071,0.085
Boonsri,10/09/2004,0.054,0.078
Chai,17/09/2004,0.047,0.052
Chai,17/09/2004,0.037,0.05
Chai,17/09/2004,0.066,0.098
Boonsri,24/09/2004,0.029,0.035
Boonsri,24/09/2004,0.026,0.031
Boonsri,24/09/2004,0.019,0.028
Kohsoom,27/09/2004,0.29,0.48
Boonsri,08/10/2004,0.048,0.051
Boonsri,08/10/2004,0.042,0.054
Boonsri,08/10/2004,0.042,0.048
Kannika,09/10/2004,0.027,0.087
Kannika,09/10/2004,0.027,0.089
Kannika,09/10/2004,0.032,0.082
Sakda,09/10/2004,0.025,0.073
Sakda,09/10/2004,0.02,0.082
Sakda,09/10/2004,0.066,0.186
Chai,11/10/2004,0.067,0.198
Chai,11/10/2004,0.071,0.186
Chai,11/10/2004,0.042,0.138
Somchair,21/10/2004,0.012,0.086
Busarakhan,21/10/2004,0.021,0.239
Boonsri,22/10/2004,0.052,0.06
Boonsri,22/10/2004,0.035,0.04
Boonsri,22/10/2004,0.045,0.055
Kohsoom,24/10/2004,0.27,0.36
Boonsri,05/11/2004,0.08,0.1
Boonsri,05/11/2004,0.07,0.085
Boonsri,05/11/2004,0.08,0.09
Chai,21/11/2004,0.022,0.088
Chai,21/11/2004,0.029,0.09
Chai,21/11/2004,0.021,0.106
Boonsri,26/11/2004,0.146,0.15
Boonsri,26/11/2004,0.068,0.075
Boonsri,26/11/2004,0.11,0.12
Kohsoom,28/11/2004,0.22,0.38
Boonsri,03/12/2004,0.12,0.13
Boonsri,03/12/2004,0.14,0.15
Boonsri,03/12/2004,0.12,0.13
Somchair,03/12/2004,0.023,0.095
Busarakhan,03/12/2004,0.031,0.162
Chai,05/12/2004,0.05,0.061
Chai,05/12/2004,0.137,0.188
Chai,05/12/2004,0.056,0.166
Kannika,11/12/2004,0.038,0.202
Kannika,11/12/2004,0.041,0.078
Kannika,11/12/2004,0.049,0.102
Sakda,11/12/2004,0.029,0.056
Sakda,11/12/2004,0.055,0.159
Sakda,11/12/2004,0.045,0.073
Boonsri,17/12/2004,0.11,0.128
Kohsoom,19/12/2004,0.2,0.36
Boonsri,14/01/2005,0.11,0.12
Boonsri,14/01/2005,0.097,0.1
Boonsri,14/01/2005,0.091,0.1
Kannika,16/01/2005,0.059,0.155
Kannika,16/01/2005,0.04,0.112
Kannika,16/01/2005,0.045,0.154
Sakda,16/01/2005,0.007,0.169
Sakda,16/01/2005,0.082,0.083
Sakda,16/01/2005,0.057,0.134
Somchair,22/01/2005,0.056,0.064
Busarakhan,22/01/2005,0.096,0.177
Chai,27/01/2005,0.042,0.084
Chai,27/01/2005,0.039,0.063
Chai,27/01/2005,0.039,0.101
Boonsri,28/01/2005,0.084,0.095
Boonsri,28/01/2005,0.084,0.09
Boonsri,28/01/2005,0.091,0.098
Kohsoom,30/01/2005,0.26,0.47
Chai,31/01/2005,0.068,0.159
Chai,31/01/2005,0.031,0.034
Chai,31/01/2005,0.04,0.097
Boonsri,11/02/2005,0.1,0.12
Boonsri,11/02/2005,0.1,0.11
Boonsri,11/02/2005,0.084,0.1
Kannika,11/02/2005,0.065,0.167
Kannika,11/02/2005,0.042,0.201
Kannika,11/02/2005,0.066,0.151
Sakda,11/02/2005,0.098,0.166
Sakda,11/02/2005,0.05,0.163
Sakda,11/02/2005,0.076,0.13
Somchair,20/02/2005,0.089,0.168
Busarakhan,20/02/2005,0.087,0.123
Chai,21/02/2005,0.043,0.098
Chai,21/02/2005,0.092,0.159
Chai,21/02/2005,0.061,0.12
Boonsri,24/02/2005,0.075,0.082
Boonsri,24/02/2005,0.084,0.105
Boonsri,24/02/2005,0.078,0.087
Kohsoom,27/02/2005,0.23,0.41
Chai,28/02/2005,0.066,0.075
Chai,28/02/2005,0.073,0.078
Chai,28/02/2005,0,0.052
Boonsri,11/03/2005,0.078,0.085
Boonsri,11/03/2005,0.049,0.06
Boonsri,11/03/2005,0.078,0.08
Kannika,11/03/2005,0.057,0.072
Kannika,11/03/2005,0.058,0.069
Kannika,11/03/2005,0.054,0.062
Sakda,11/03/2005,0.064,0.068
Sakda,11/03/2005,0.057,0.098
Sakda,11/03/2005,0.063,0.076
Chai,17/03/2005,0.033,0.081
Chai,17/03/2005,0.028,0.073
Chai,17/03/2005,0.033,0.071
Somchair,24/03/2005,0.038,0.042
Busarakhan,24/03/2005,0.021,0.035
Boonsri,25/03/2005,0.09,0.11
Boonsri,25/03/2005,0.068,0.08
Boonsri,25/03/2005,0.058,0.07
Kohsoom,27/03/2005,0.15,0.27
Chai,31/03/2005,0.031,0.035
Chai,31/03/2005,0.027,0.03
Chai,31/03/2005,0.022,0.028
Boonsri,08/04/2005,0.042,0.05
Boonsri,08/04/2005,0.039,0.048
Boonsri,08/04/2005,0.042,0.06
Kannika,08/04/2005,0.031,0.117
Kannika,08/04/2005,0.035,0.195
Kannika,08/04/2005,0.021,0.103
Sakda,08/04/2005,0.104,0.182
Sakda,08/04/2005,0.171,0.203
Sakda,08/04/2005,0.043,0.05
Chai,11/04/2005,0.034,0.121
Chai,11/04/2005,0.077,0.097
Chai,11/04/2005,0.038,0.07
Chai,21/04/2005,0.021,0.056
Chai,21/04/2005,0.019,0.033
Chai,21/04/2005,0.016,0.031
Boonsri,22/04/2005,0.035,0.05
Boonsri,22/04/2005,0.068,0.08
Boonsri,22/04/2005,0.052,0.07
Somchair,24/04/2005,0.025,0.349
Busarakhan,24/04/2005,0.017,0.122
Kohsoom,25/04/2005,0.19,0.38
Boonsri,13/05/2005,0.061,0.07
Boonsri,13/05/2005,0.039,0.055
Boonsri,13/05/2005,0.035,0.052
Kannika,13/05/2005,0,0.012
Kannika,13/05/2005,0,0.01
Kannika,13/05/2005,0,0.01
Sakda,13/05/2005,0.006,0.032
Sakda,13/05/2005,0.005,0.086
Sakda,13/05/2005,0.005,0.022
Chai,16/05/2005,0.043,0.063
Chai,16/05/2005,0.024,0.046
Chai,16/05/2005,0.01,0.032
Chai,23/05/2005,0.022,0.046
Chai,23/05/2005,0.009,0.046
Chai,23/05/2005,0.011,0.207
Boonsri,28/05/2005,0.055,0.065
Boonsri,28/05/2005,0.061,0.08
Boonsri,28/05/2005,0.058,0.07
Kohsoom,29/05/2005,0.12,0.24
Somchair,29/05/2005,0,0.01
Busarakhan,29/05/2005,0.014,0.015
Boonsri,10/06/2005,0.052,0.061
Boonsri,10/06/2005,0.048,0.058
Boonsri,10/06/2005,0.055,0.063
Boonsri,24/06/2005,0.058,0.068
Boonsri,24/06/2005,0.058,0.068
Boonsri,24/06/2005,0.078,0.089
Kohsoom,26/06/2005,0.16,0.24
Boonsri,08/07/2005,0.065,0.09
Boonsri,08/07/2005,0.075,0.11
Boonsri,08/07/2005,0.078,0.11
Kannika,08/07/2005,0.037,0.059
Kannika,08/07/2005,0.04,0.044
Kannika,08/07/2005,0.048,0.054
Sakda,08/07/2005,0.019,0.057
Sakda,08/07/2005,0.044,0.045
Sakda,08/07/2005,0.067,0.097
Boonsri,22/07/2005,0.058,0.067
Boonsri,22/07/2005,0.068,0.079
Boonsri,22/07/2005,0.072,0.082
Chai,23/07/2005,0.021,0.071
Chai,23/07/2005,0.029,0.044
Chai,23/07/2005,0.029,0.095
Kohsoom,24/07/2005,0.12,0.18
Somchair,24/07/2005,0.017,0.119
Busarakhan,24/07/2005,0.03,0.115
Chai,31/07/2005,0.054,0.125
Chai,31/07/2005,0.024,0.037
Chai,31/07/2005,0.023,0.077
Boonsri,12/08/2005,0.091,0.104
Boonsri,12/08/2005,0.091,0.104
Boonsri,12/08/2005,0.097,0.11
Kannika,12/08/2005,0.079,0.151
Kannika,12/08/2005,0.068,0.151
Kannika,12/08/2005,0.062,0.136
Sakda,12/08/2005,0.057,0.151
Sakda,12/08/2005,0.255,0.261
Sakda,12/08/2005,0.076,0.101
Somchair,14/08/2005,0.031,0.108
Busarakhan,14/08/2005,0.047,0.095
Chai,18/08/2005,0.06,0.195
Chai,18/08/2005,0.061,0.12
Chai,18/08/2005,0.063,0.087
Chai,25/08/2005,0.008,0.166
Chai,25/08/2005,0.006,0.181
Chai,25/08/2005,0.021,0.19
Boonsri,26/08/2005,0.072,0.078
Boonsri,26/08/2005,0.078,0.085
Boonsri,26/08/2005,0.068,0.072
Kohsoom,28/08/2005,0.13,0.17
Boonsri,09/09/2005,0.065,0.11
Boonsri,09/09/2005,0.059,0.09
Boonsri,09/09/2005,0.059,0.1
Kannika,09/09/2005,0.037,0.04
Kannika,09/09/2005,0.044,0.048
Kannika,09/09/2005,0.045,0.052
Sakda,09/09/2005,0.034,0.036
Sakda,09/09/2005,0.025,0.025
Sakda,09/09/2005,0.045,0.059
Chai,22/09/2005,0.034,0.137
Chai,22/09/2005,0.052,0.181
Chai,22/09/2005,0.052,0.192
Boonsri,23/09/2005,0.084,0.12
Boonsri,23/09/2005,0.081,0.1
Boonsri,23/09/2005,0.075,0.09
Somchair,24/09/2005,0.012,0.038
Busarakhan,24/09/2005,0.013,0.038
Kohsoom,25/09/2005,0.11,0.15
Chai,29/09/2005,0.012,0.063
Chai,29/09/2005,0.016,0.049
Chai,29/09/2005,0.015,0.05
Boonsri,02/10/2005,0.13,0.16
Boonsri,02/10/2005,0.081,0.09
Boonsri,02/10/2005,0.101,0.13
Chai,10/10/2005,0.053,0.185
Chai,10/10/2005,0.049,0.16
Chai,10/10/2005,0.043,0.162
Kannika,14/10/2005,0.008,0.057
Kannika,14/10/2005,0,0.046
Kannika,14/10/2005,0.009,0.051
Sakda,14/10/2005,0.005,0.101
Sakda,14/10/2005,0.005,0.039
Sakda,14/10/2005,0.026,0.056
Chai,20/10/2005,0.012,0.045
Chai,20/10/2005,0.01,0.058
Chai,20/10/2005,0.055,0.103
Boonsri,21/10/2005,0.027,0.13
Boonsri,21/10/2005,0.015,0.1
Boonsri,21/10/2005,0.026,0.14
Kohsoom,23/10/2005,0.14,0.19
Somchair,23/10/2005,0.026,0.125
